rib knit,리브니트
long sleeve,긴팔
short sleeve,반팔
round toe,라운드토
french terry,프렌치테리
spread collar,스프레드칼라
welt pocket,웰트포켓
zippered pockets,지퍼포켓
dropped shoulders,드롭숄더
goose down,구스다운
crew neck,크루넥
scoop neck,스쿱넥
tonal,색조
black,블랙
stitching,스티칭
cotton,코튼
sleeve,슬리브
logo,로고
collar,칼라
white,화이트
knit,니트
long,롱
cuffs,커프스
leather,레더
hem,헴
rubber,러버
crewneck,크루넥
t-shirt,티셔츠
t shirt,티셔츠
tee,티셔츠
tee shirt,티셔츠
tee-shirt,티셔츠
trim,트림
printed,프린트
pockets,포켓
sneakers,스니커즈
grey,그레이
wool,울
patch,패치
waist,허리
silver-tone,실버
pocket,포켓
jersey,저지
blue,블루
hoodie,후디
jacket,재킷
lining,라이닝
navy,네이비
drawstring,끈
embroidered,자수
polyester,폴리에스터
graphic,그래픽
heel,힐
sweatshirt,스웨트셔츠
round,라운드
short,짧은
shirt,셔츠
terry,테리
french,프렌치
padded,패딩
off-white,화이트
waistband,벨트
lace-up,레이스업
button,버튼
welt,웰트
hood,후드
sweater,스웨터
nylon,나일론
multi-color,멀티컬러
multi color,멀티컬러
trousers,바지
jeans,청바지
text,텍스트
green,그린
denim,데님
pattern,패턴
slim-fit,슬림핏
slim,슬림
zippered,지퍼
suede,스웨드
sleeves,슬리브
textile,텍스타일
pants,팬츠
striped,스트라이프
beige,베이지
yellow,옐로
polyamide,폴리
viscose,비스코스
grosgrain,그로그랭
gros grain,그로그랭
gros-grain,그로그랭
gold-tone,골드
gold,골드
four-pocket,포포켓
four pocket,포포켓
single-button,싱글버튼
single button,싱글버튼
brown,브라운
pink,핑크
shorts,반바지
boots,부츠
bomber,봄버
outer,아우터
high-top,하이탑
high top,하이탑
stripes,스트라이프
calfskin,송아지가죽
relaxed-fit,릴랙스
relaxed,릴랙스
silk,실크
coat,코트
raglan,래글런
satin,사틴
cashmere,캐시미어
orange,오렌지
slip-on,슬립온
slip on,슬립온
mesh,망사
stripe,스트라이프
yoke,요크
three-pocket,쓰리포켓
three pocket,쓰리포켓
turtleneck,터틀넥
turtle neck,터틀넥
trutle-neck,터틀넥
indigo,인디고
check,체크
graphics,그래픽
detachable,디테쳐블
sandals,샌들
polyurethane,폴리우레탄
linen,리넨
classic,클래식
pullover,풀오버
pull over,풀오버
pull-over,풀오버
fit,핏
wool-blend,울
woven,우븐
purple,보라
cotton-blend,코튼
oversized,오버사이즈
chelsea,첼시
polo,폴로
cardigan,가디건
velcro,벨크로
notched,노치드
neck,넥
skinny-fit,스키니
skinny,스키니
khaki,카키
loafers,로퍼
two-pocket,투포켓
two pocket,투포켓
armscyes,암홀
armscye,암홀
lambskin,양가죽
cap,캡
blazer,블레이저
pleats,주름
two-button,투버튼
two button,투버튼
stitch,스티치
rayon,레이온
slim,슬림
top,탑
webbing,웨빙
cargo,카고
straps,스트랩
sleeveless,슬리브리스
mohair,모헤어
cropped,크롭
merino,메리노
print,프린팅
piping,파이핑
camouflage,카모플라쥬
burgundy,버건디
derbys,더비
velvet,벨벳
straight-leg,스트레이트
straight,스트레이트
fur,털
rolled,롤업
washed,워시드
copper-tone,코퍼
copper,코퍼
pleat,주름
brass-tone,황동
brass,황동
hooded,후드
corduroy,코듀로이
belt,벨트
v-neck,브이넥
v neck,브이넥
vneck,브이넥
cashmere-blend,캐시미어
three-button,쓰리버튼
three button,쓰리버튼
button-down,버튼다운
button down,버튼다운
floral,플로럴
medusa,메두사
neoprene,네오프린
overlay,오버레이
jacquard,자카드
tiger,타이거
silk-blend,실크
cuff,커프스
parka,파카
y-neck,와이넥
y neck,와이넥
yneck,와이넥
six-pocket,식스포켓
six pocket,식스포켓
vest,베스트
linen-blend,리넨
garment-washed,워시드
garment washed,워시드
wide-leg,와이드
wide leg,와이드
pale,페일
camo,카모
ivory,아이보리
layered,레이어드
sweatpants,스웨트팬츠
nylon-blend,나일론
four-button,포버튼
four button,포버튼
mohair-blend,모헤어
camel,캐멀
flannel,플란넬
leopard,레오파드
alpaca,알파카
charcoal,차콜
oxford,옥스포드
silver,실버
rounded,라운디드
military,밀리터리
oxfords,옥스포드
raincoat,레인코트
olive,올리브
chino,치노
basic,베이직
espadrilles,에스파디유
lamb,양털
rabbit,토끼털
epaulettes,견장
viscose-blend,비스코스
viscose,비스코스
trench,트렌치
army,밀리터리
windbreaker,위드브레이커
sport,스포츠
neon,네온
cream,크림
logo-embossed,로고
loose,루즈
waterproof,방수
pearl,펄
hems,헴
patterns,패턴
tropical,트로피컬
alpaca-blend,알파카
jogger,조거
casual,캐주얼
chinos,치노
laced,레이스
suit,수트
lace,레이스
vinyl,비닐
carrot,캐럿
seven-pocket,세븐포켓
seven pocket,세븐포켓
moccasins,모카신
snakeskin,뱀가죽
ash,애쉬
plastic,플라스틱
damaged,데미지
destroyed,디스트로이드
regular,레귤러
marine,마린
melange,멜란지
logos,로고
waxed,왁스
zipper,지퍼
dyed,다이드
seamless,심리스
overshirt,오버사이즈
goatskin,염소가죽
deerskin,사슴가죽
color,컬러
dye,염색
plain,플레인
tweed,트위드
polyvinyl,폴리비닐
polyurethanic,폴리우레탄
cinnamon,시나몬
polka,폴카
caramel,카라멜
t-shirts,티셔츠
t shirts,티셔츠
tee shirts,티셔츠
shoes,신발
hoodie-style,후드
mustard,머스타드
cobalt,코발트
baggy,배기
pigment-dyed,염색
zebra,지브라
peacoat,피코트
destroy,디스트로이드
ripped,찢어진
oversize,오버사이즈
sneaker,스니커즈
aqua,아쿠아
violet,바이올렛
graient,그라디언트
graffiti,그래피티
buble,버블
ramie-blend,모시
3-stripes,스트라이프
button-up,버튼업
button up,버튼업
knitted,니트
shirt-style,셔츠
logo-woven,로고
logo-patterned,로고
boxy,오버사이즈
cherry,체리
leather-trimmed,레더
jean,청바지
notch,노치
tartan,타탄
horizontal,호리젠탈
geometric,지오메트릭
t-shirt-style,티셔츠
desert,데저트
flip-flop,플립플롭
flip flop,플립플랍
bicolor,바이컬러
monk,몽크
